,CLASSNAME,landfire140,landfire200,tau,k
134,Eastern Warm Temperate Wheat,3998,7998,,
135,Eastern Warm Temperate Aquaculture,3999,7999,,
137,Eastern Boreal Floodplain Shrubland,3272,7272,,
138,Eastern Boreal Floodplain Woodland,3444,7444,,
139,Great Lakes Wooded Dune and Swale,3466,7466,,
140,South Florida Cypress Dome,3447,7447,,
141,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,3459,7459,,
142,South Florida Hardwood Hammock,3333,7333,,
143,Paleozoic Plateau Bluff and Talus Herbaceous,3286,7286,,
144,North-Central Interior Dry Oak Forest and Woodland,3311,7311,,
145,Paleozoic Plateau Bluff and Talus Woodland,3517,7517,,
146,North-Central Oak Barrens Herbaceous,3290,7290,,
147,North-Central Oak Barrens Woodland,3395,7395,,
148,Laurentian-Acadian Northern Oak Forest,3238,7238,,
149,Laurentian Oak Barrens,3242,7242,,
150,Laurentian Pine-Oak Barrens,3243,7243,,
151,Laurentian-Acadian Northern Pine Forest,3362,7362,,
152,Laurentian Pine Barrens,3407,7407,,
153,Northwestern Great Plains Highland White Spruce Woodland,3048,7048,,
154,North Pacific Maritime Mesic Subalpine Parkland,3038,7038,,
155,North Pacific Mountain Hemlock Forest,3041,7041,,
168,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,3172,7172,,
169,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,3018,7018,,
171,Northwestern Great Plains Aspen Forest and Parkland,3009,7009,,
177,North Pacific Wooded Volcanic Flowage,3173,7173,,
179,North Pacific Mesic Western Hemlock-Silver Fir Forest,3042,7042,,
180,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,3174,7174,,
181,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,3178,7178,,
182,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,3037,7037,,
183,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,3039,7039,,
184,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,3021,7021,,
185,California Coastal Redwood Forest,3015,7015,,
186,North Pacific Oak Woodland,3008,7008,,
189,Western Great Plains Dry Bur Oak Forest and Woodland,3013,7013,,
192,East Cascades Ponderosa Pine Forest and Woodland,3060,7060,,
194,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,3179,7179,,
195,East Cascades Oak Forest and Woodland,3262,7262,,
196,Laurentian-Acadian Hardwood Forest,3240,7240,,
197,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,3241,7241,,
198,Laurentian-Acadian Pine-Hemlock Forest,3366,7366,,
199,Madrean Encinal,3023,7023,,
200,Madrean Lower Montane Pine-Oak Forest and Woodland,3024,7024,,
201,Madrean Upper Montane Conifer-Oak Forest and Woodland,3026,7026,,
206,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,3022,7022,,
207,California Coastal Closed-Cone Conifer Forest and Woodland,3177,7177,,
209,North-Central Interior Beech-Maple Forest,3313,7313,,
211,California Coastal Live Oak Woodland and Savanna,3113,7113,,
212,Southern California Oak Woodland and Savanna,3118,7118,,
214,North-Central Interior Maple-Basswood Forest,3314,7314,,
215,Laurentian-Acadian Northern Hardwoods Forest,3302,7302,,
216,Central and Southern Appalachian Spruce-Fir Forest,3350,7350,,
217,Acadian Low-Elevation Spruce-Fir Forest,3373,7373,,
218,Acadian-Appalachian Montane Spruce-Fir Forest,3374,7374,,
219,Acadian Low-Elevation Hardwood Forest,3554,7554,,
220,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,3555,7555,,
221,Laurentian-Acadian Floodplain Shrubland,3277,9617,,
222,Laurentian-Acadian Floodplain Forest,3475,9117,,
223,Crosstimbers Oak Forest and Woodland,3308,7308,,
224,Ouachita Montane Oak Forest,3312,7312,,
225,South-Central Interior/Upper Coastal Plain Flatwoods,3326,7326,,
226,Piedmont Hardpan Woodland and Forest,3342,7342,,
227,Ozark-Ouachita Dry Oak Woodland,3364,7364,,
228,Lower Mississippi River Dune Woodland and Forest,3381,7381,,
229,East-Central Texas Plains Post Oak Savanna and Woodland,3519,7519,,
230,North-Central Interior Oak Savanna,3394,7394,,
231,Southern Interior Low Plateau Dry-Mesic Oak Forest,3305,7305,,
232,Southern Appalachian Oak Forest,3315,7315,,
233,Allegheny-Cumberland Dry Oak Forest and Woodland,3317,7317,,
234,Central Appalachian Dry Pine Forest,3369,7369,,
235,Central Appalachian Dry Oak Forest,3463,7463,,
236,Central Appalachian Dry Oak-Pine Forest,3502,7502,,
237,Northeastern Interior Pine Barrens,3354,7354,,
238,Northern Atlantic Coastal Plain Pitch Pine Barrens,3355,7355,,
239,Northern Atlantic Coastal Plain Pitch Pine Lowland,3456,7456,,
240,Eastern Serpentine Woodland,3375,7375,,
241,Southern Coastal Plain Blackland Prairie,3430,7430,,
242,Southern Coastal Plain Blackland Prairie Woodland,3567,7567,,
243,Southern Appalachian Montane Pine Forest and Woodland,3352,7352,,
244,Northeastern Interior Dry-Mesic Oak Forest,3303,7303,,
245,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,3306,7306,,
246,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,3307,7307,,
247,North-Central Interior Dry-Mesic Oak Forest and Woodland,3310,7310,,
248,Southern Piedmont Mesic Forest,3316,7316,,
249,Central and Southern Appalachian Montane Oak Forest,3320,7320,,
250,Northern Atlantic Coastal Plain Hardwood Forest,3324,7324,,
251,Ozark-Ouachita Mesic Hardwood Forest,3334,7334,,
252,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,3376,7376,,
253,Ozark-Ouachita Dry-Mesic Oak Forest,3304,7304,,
254,Crowley's Ridge Mesic Loess Slope Forest,3322,7322,,
255,East Gulf Coastal Plain Northern Loess Bluff Forest,3327,7327,,
256,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,3509,7509,,
257,Southern Appalachian Northern Hardwood Forest,3309,7309,,
258,Southern and Central Appalachian Cove Forest,3318,7318,,
259,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,3325,7325,,
260,Southern Piedmont Dry Pine Forest,3368,7368,,
261,Southern Piedmont Dry Oak Forest,3406,7406,,
262,South-Central Interior Mesophytic Forest,3321,7321,,
263,Appalachian Hemlock Forest,3370,7370,,
264,Appalachian Northern Hardwood Forest,3511,7511,,
265,North-Central Interior Wet Flatwoods,3518,7518,,
266,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,3349,7349,,
267,Southeastern Interior Longleaf Pine Woodland,3351,7351,,
268,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,3346,7346,,
269,Atlantic Coastal Plain Upland Longleaf Pine Woodland,3347,7347,,
270,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,3348,7348,,
271,Florida Longleaf Pine Sandhill,3356,7356,,
272,West Gulf Coastal Plain Catahoula Barrens,3403,7403,,
273,Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,3335,7335,,
274,Florida Peninsula Inland Scrub Shrubland,3387,7387,,
275,Florida Peninsula Inland Scrub Woodland,3565,7565,,
276,Central Atlantic Coastal Plain Maritime Forest,3361,7361,,
277,East Gulf Coastal Plain Maritime Forest,3380,7380,,
278,Southern Atlantic Coastal Plain Maritime Forest,3382,7382,,
279,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,3507,7507,,
